x_t,m_a_teste
5,0.959375
6,0.9645833333333332
7,0.9635416666666666
8,0.9666666666666666
9,0.9625
10,0.9697916666666668
11,0.98125
12,0.9770833333333334
13,0.9854166666666668
14,0.9947916666666666
15,0.9854166666666668
16,0.99375
17,0.9958333333333333
18,0.99375
19,0.9979166666666668
20,0.996875
21,0.9989583333333334
22,0.9989583333333332
23,0.9989583333333332
24,0.9989583333333332
25,0.9979166666666666
26,0.9979166666666666
27,1
28,0.9989583333333334
29,0.9979166666666666
30,0.9979166666666666
31,1
32,0.9979166666666666
33,1
34,0.9989583333333332
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
