x_t,m_a_teste
5,0.97109375
6,0.9690104166666668
7,0.97109375
8,0.98046875
9,0.9877604166666668
10,0.9861979166666668
11,0.9916666666666666
12,0.99140625
13,0.9924479166666667
14,0.9932291666666666
15,0.9947916666666667
16,0.9958333333333332
17,0.99609375
18,0.9981770833333332
19,0.99921875
20,0.99765625
21,0.9989583333333334
22,0.99921875
23,0.9994791666666666
24,0.9989583333333334
25,0.9986979166666666
26,0.99921875
27,0.9981770833333334
28,0.99921875
29,0.9986979166666666
30,0.9986979166666666
31,0.9989583333333332
32,0.9989583333333332
33,0.99921875
34,1
35,0.9997395833333333
36,0.9989583333333332
37,0.99921875
38,0.9989583333333334
39,0.9994791666666666
40,1
41,0.9994791666666666
42,0.9981770833333335
43,0.9989583333333332
44,0.9989583333333334
45,0.9986979166666666
46,0.9997395833333333
47,0.9997395833333333
48,0.99921875
49,0.9994791666666666
50,0.9997395833333333
51,0.9989583333333332
52,0.9981770833333334
53,0.9984375
54,0.9994791666666666
55,0.9994791666666666
56,0.9989583333333334
57,0.9981770833333334
58,0.99921875
59,0.9989583333333334
60,0.9997395833333332
61,0.9994791666666666
62,0.9989583333333336
63,0.9994791666666668
64,0.9986979166666666
65,1
66,0.9989583333333334
67,0.9997395833333332
68,0.9997395833333332
69,1
70,0.9997395833333333
71,1
72,0.9997395833333333
73,0.9997395833333333
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
