x_t,m_a_teste
5,0.9828125000000002
6,0.9893229166666666
7,0.9924479166666667
8,0.9927083333333334
9,0.9940104166666666
10,0.9963541666666667
11,0.99609375
12,0.9966145833333334
13,0.99765625
14,0.9966145833333332
15,0.9966145833333332
16,0.9979166666666668
17,0.9979166666666666
18,0.9973958333333334
19,0.9997395833333332
20,0.9989583333333334
21,0.996875
22,0.99765625
23,0.9984375
24,0.99921875
25,0.9986979166666666
26,0.9986979166666666
27,0.9984375
28,0.9989583333333334
29,0.9984374999999999
30,0.9989583333333334
31,0.9989583333333332
32,0.9994791666666666
33,0.9986979166666666
34,0.9984375
35,0.9989583333333334
36,0.9984375
37,0.9986979166666666
38,0.9989583333333332
39,0.99921875
40,0.9986979166666666
41,0.9986979166666666
42,0.9994791666666668
43,0.9989583333333334
44,0.9986979166666666
45,0.9997395833333332
46,0.99921875
47,0.99921875
48,0.9994791666666666
49,0.9994791666666666
50,0.9994791666666666
51,0.9997395833333332
52,0.99921875
53,0.9997395833333332
54,0.99921875
55,1
56,0.9994791666666668
57,0.9994791666666666
58,0.9997395833333332
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
